Age,Barking_and_Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith_and_Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington_and_Chelsea,Kingston_upon_Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond_upon_Thames,Southwark,Sutton,Tower_Hamlets,Waltham_Forest,Wandsworth,Westminster,Greater_London
48,2581.0,5205.0,3713.0,4059.0,5108.0,2958.0,5390.0,4716.0,4810.0,3780.0,3232.0,2481.0,3777.0,3339.0,3571.0,4055.0,3428.0,2671.0,2191.0,2367.0,4190.0,4138.0,2910.0,3871.0,3830.0,3093.0,4294.0,3188.0,2975.0,3714.0,3739.0,3260.0,116634.0
49,2568.0,5218.0,3630.0,4195.0,5030.0,2916.0,5921.0,4649.0,4790.0,3672.0,3125.0,2367.0,3791.0,3219.0,3630.0,3959.0,3527.0,2908.0,2246.0,2363.0,4172.0,4118.0,2797.0,3836.0,3723.0,3014.0,3978.0,3123.0,2703.0,3655.0,3786.0,3124.0,115753.0
50,2535.0,4901.0,3676.0,4186.0,5058.0,2792.0,5731.0,4655.0,4690.0,3508.0,3097.0,2277.0,3798.0,3204.0,3571.0,3960.0,3497.0,2708.0,2303.0,2274.0,4275.0,4079.0,2774.0,3609.0,3788.0,2965.0,3966.0,3151.0,2548.0,3467.0,3408.0,3059.0,113510.0
51,2404.0,4970.0,3623.0,4122.0,4979.0,2737.0,5813.0,4505.0,4586.0,3428.0,2821.0,2329.0,3423.0,3277.0,3574.0,3880.0,3330.0,2547.0,2181.0,2214.0,4142.0,4034.0,2719.0,3561.0,3681.0,2911.0,3912.0,2969.0,2520.0,3546.0,3521.0,2978.0,111237.0
52,2399.0,4755.0,3464.0,4060.0,4594.0,2580.0,5672.0,4258.0,4496.0,3242.0,2762.0,2135.0,3327.0,3240.0,3502.0,3796.0,3186.0,2576.0,2154.0,2162.0,3829.0,4001.0,2633.0,3511.0,3526.0,2750.0,3904.0,2866.0,2418.0,3261.0,3306.0,2826.0,107191.0
53,2264.0,4496.0,3369.0,3884.0,4541.0,2431.0,5392.0,4190.0,4096.0,3154.0,2611.0,2025.0,3171.0,3204.0,3328.0,3758.0,3155.0,2441.0,2030.0,2077.0,3582.0,3787.0,2543.0,3251.0,3460.0,2675.0,3550.0,2629.0,2257.0,3092.0,2972.0,2687.0,102102.0
54,2130.0,4415.0,3294.0,3821.0,4459.0,2410.0,4885.0,3913.0,4160.0,3170.0,2471.0,1880.0,2821.0,3091.0,3542.0,3545.0,3030.0,2221.0,2015.0,2001.0,3426.0,3378.0,2340.0,3255.0,3300.0,2524.0,3574.0,2605.0,2188.0,2957.0,2957.0,2628.0,98406.0
55,2079.0,4249.0,3165.0,3874.0,4227.0,2314.0,4855.0,3821.0,3946.0,2949.0,2360.0,1813.0,2958.0,3096.0,3287.0,3431.0,2890.0,2062.0,1899.0,1870.0,3223.0,3181.0,2275.0,3100.0,3367.0,2335.0,3405.0,2537.0,2130.0,2948.0,2770.0,2619.0,95035.0
56,1993.0,4123.0,3025.0,3779.0,3952.0,2299.0,4573.0,3686.0,3654.0,2818.0,2269.0,1609.0,2619.0,2968.0,3215.0,3287.0,2851.0,2048.0,1853.0,1964.0,2907.0,2982.0,2094.0,2826.0,3080.0,2258.0,3092.0,2395.0,2046.0,2928.0,2582.0,2348.0,90123.0
57,1795.0,4077.0,2899.0,3599.0,3859.0,2196.0,4225.0,3506.0,3553.0,2619.0,2027.0,1676.0,2436.0,2834.0,3211.0,3171.0,2744.0,1807.0,1760.0,1725.0,2769.0,2901.0,2033.0,2754.0,3121.0,2214.0,3002.0,2253.0,1949.0,2596.0,2448.0,2271.0,86030.0
58,1728.0,3776.0,2731.0,3268.0,3676.0,2006.0,4058.0,3425.0,3278.0,2358.0,1978.0,1468.0,2375.0,2791.0,2985.0,2993.0,2684.0,1775.0,1676.0,1767.0,2580.0,2755.0,2062.0,2694.0,2960.0,2193.0,2681.0,2119.0,1897.0,2464.0,2374.0,2168.0,81743.0
59,1613.0,3706.0,2566.0,3266.0,3426.0,2071.0,4006.0,3381.0,3222.0,2397.0,1967.0,1437.0,2231.0,2860.0,2728.0,2887.0,2513.0,1794.0,1560.0,1543.0,2456.0,2558.0,1921.0,2521.0,2806.0,2018.0,2477.0,2078.0,1786.0,2292.0,2405.0,2226.0,78718.0
60,1500.0,3472.0,2417.0,3065.0,3311.0,1925.0,3889.0,3276.0,2921.0,2222.0,1832.0,1388.0,2163.0,2734.0,2621.0,2751.0,2456.0,1584.0,1544.0,1528.0,2269.0,2250.0,1806.0,2230.0,2748.0,1963.0,2268.0,1958.0,1686.0,2235.0,2167.0,2100.0,74279.0
61,1442.0,3256.0,2283.0,2788.0,3236.0,1845.0,3610.0,3198.0,2885.0,2100.0,1573.0,1409.0,2001.0,2444.0,2686.0,2591.0,2328.0,1597.0,1490.0,1630.0,2124.0,2187.0,1703.0,2084.0,2726.0,1906.0,2049.0,1976.0,1622.0,2229.0,2085.0,1976.0,71059.0
62,1413.0,3303.0,2279.0,2738.0,3147.0,1860.0,3381.0,3104.0,2664.0,1990.0,1616.0,1287.0,1969.0,2467.0,2533.0,2511.0,2279.0,1456.0,1452.0,1512.0,2099.0,1997.0,1721.0,1966.0,2482.0,1795.0,1974.0,1833.0,1539.0,2068.0,2046.0,1985.0,68466.0
63,1281.0,3196.0,2240.0,2580.0,3071.0,1809.0,3429.0,2942.0,2713.0,1933.0,1467.0,1244.0,1930.0,2367.0,2519.0,2332.0,2217.0,1367.0,1459.0,1375.0,1822.0,1888.0,1616.0,2017.0,2428.0,1859.0,1832.0,1744.0,1536.0,2014.0,1945.0,2011.0,66183.0
64,1318.0,3236.0,2312.0,2500.0,3188.0,1756.0,3138.0,2729.0,2514.0,1861.0,1465.0,1266.0,1793.0,2327.0,2491.0,2273.0,2065.0,1265.0,1489.0,1465.0,1788.0,1917.0,1656.0,1809.0,2394.0,1883.0,1744.0,1807.0,1281.0,1858.0,1997.0,1874.0,64459.0
65,1213.0,3312.0,2138.0,2600.0,3190.0,1806.0,3057.0,2695.0,2497.0,1817.0,1380.0,1193.0,1846.0,2286.0,2514.0,2337.0,2119.0,1325.0,1596.0,1447.0,1753.0,1746.0,1595.0,1792.0,2375.0,1809.0,1657.0,1734.0,1238.0,1724.0,1910.0,1867.0,63568.0
66,1197.0,3172.0,2263.0,2267.0,3396.0,1844.0,2962.0,2660.0,2473.0,1799.0,1318.0,1216.0,1768.0,2209.0,2635.0,2311.0,2054.0,1349.0,1506.0,1505.0,1628.0,1708.0,1639.0,1512.0,2171.0,1886.0,1622.0,1822.0,1187.0,1761.0,1980.0,1820.0,62640.0
67,1119.0,3144.0,2394.0,2207.0,3480.0,1835.0,3210.0,2612.0,2495.0,1932.0,1280.0,1281.0,1644.0,2229.0,2799.0,2409.0,2033.0,1429.0,1544.0,1474.0,1634.0,1831.0,1578.0,1598.0,2243.0,1966.0,1593.0,1866.0,1079.0,1834.0,1884.0,1822.0,63478.0
68,1260.0,3344.0,2673.0,2198.0,3994.0,1862.0,3421.0,2557.0,2562.0,2104.0,1314.0,1274.0,1686.0,2263.0,3122.0,2629.0,2027.0,1344.0,1544.0,1572.0,1657.0,1789.0,1603.0,1554.0,2327.0,2078.0,1647.0,2215.0,1119.0,1816.0,2017.0,1831.0,66403.0
